time_ns,markovian_coherence,heom_coherence,tdnn_heom_coherence
0.000,0.5000,0.5000,0.5000
0.001,0.2185,0.4721,0.4999
0.002,0.0954,0.4458,0.4998
0.005,0.0082,0.3748,0.4994
0.010,0.0001,0.2809,0.4988
0.020,0.0000,0.1578,0.4976
0.050,0.0000,0.0248,0.4940
0.100,0.0000,0.0006,0.4881
0.200,0.0000,0.0000,0.4764
0.500,0.0000,0.0000,0.4433
1.000,0.0000,0.0000,0.3930
2.000,0.0000,0.0000,0.3090
3.000,0.0000,0.0000,0.2428
4.150,0.0000,0.0000,0.1839
5.000,0.0000,0.0000,0.1495
